date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,tests_per_case,recovered,cumulative recovered
22-04-20,303,7,14,0,707,15411,0.0135,74.2,0,74
23-04-20,320,17,14,0,668,16079,0.0149,66.9,22,89
24-04-20,336,16,14,0,659,16738,0.0151,66.3,5,94
25-04-20,343,7,14,0,,,0.0149,67.2,4,98
26-04-20,355,12,14,0,,,0.0182,55,8,106
27-04-20,363,8,14,0,,,0.0177,56.5,8,114
28-04-20,374,11,14,0,,,0.0178,56.3,10,124
29-04-20,384,10,15,1,,,0.019,52.7,5,129
30-04-20,396,12,17,2,,20268,0.0182,55.1,15,144
01-05-20,411,15,21,4,1434,21702,0.0151,66.2,6,150
02-05-20,435,24,22,1,1195,22897,0.0165,60.6,0,152
03-05-20,465,30,24,2,883,23780,0.0188,53.3,15,167
04-05-20,490,25,24,0,1012,24792,0.0202,49.5,0,173
05-05-20,535,45,24,0,1077,25869,0.0238,42.1,17,182
06-05-20,582,47,26,2,,,0.0268,37.3,8,190
07-05-20,607,25,29,3,1075,,0.0265,37.8,7,197
08-05-20,621,14,29,0,922,29430,0.0272,36.8,5,202
09-05-20,649,28,30,1,1611,31041,0.0263,38,5,207
10-05-20,672,23,32,2,1056,32097,0.0249,40.2,32,239
11-05-20,700,28,33,1,841,32938,0.0258,38.8,12,251
12-05-20,715,15,36,3,978,33916,0.0224,44.7,8,259
13-05-20,737,22,40,4,1516,35432,0.0185,54.1,22,281
14-05-20,758,21,42,2,1486,36918,0.0174,57.4,3,284
15-05-20,781,23,45,3,2100,39018,0.0167,59.9,0,284
16-05-20,830,49,50,5,,,0.0175,57,17,301
17-05-20,887,57,50,0,,43712,0.0185,54,12,313
18-05-20,912,25,50,0,1139,44851,0.0178,56.2,23,336
19-05-20,963,51,50,0,1933,46784,0.0193,51.9,22,358
20-05-20,1029,66,50,0,2621,49405,0.0209,47.8,8,366
21-05-20,1109,80,50,0,3102,52507,0.0225,44.4,9,375
22-05-20,1161,52,50,0,2567,55074,0.0237,42.3,5,380
23-05-20,1192,31,50,0,,,0.0229,43.6,0,380
24-05-20,1214,22,51,1,,59260,0.021,47.5,3,383
25-05-20,1286,72,52,1,2711,61971,0.0218,45.8,19,402
26-05-20,1348,62,52,0,2293,64264,0.022,45.4,3,405
27-05-20,1471,123,55,3,3077,67341,0.0246,40.6,3,408
28-05-20,1618,147,58,3,2831,70172,0.0288,34.7,13,421
29-05-20,1745,127,62,4,3831,74003,0.0309,32.4,17,438
30-05-20,1888,143,63,1,,,0.0364,27.4,26,464
31-05-20,1962,74,64,1,,78536,0.0388,25.8,14,478
01-06-20,2021,59,69,5,1518,80054,0.0407,24.6,4,482
02-06-20,2093,72,71,2,2892,82946,0.0399,25.1,17,499
03-06-20,2216,123,74,3,2112,85058,0.0421,23.8,54,553
04-06-20,2340,124,78,4,2640,87698,0.0412,24.3,39,592
05-06-20,2474,134,79,1,3177,90875,0.0432,23.1,51,643
06-06-20,2600,126,83,4,3632,94507,0.039,25.6,63,706
07-06-20,2767,167,84,1,2833,97340,0.0428,23.4,46,752
08-06-20,2872,105,85,1,1099,98439,0.0463,21.6,97,849
09-06-20,2989,117,88,3,2244,100683,0.0505,19.8,24,873
10-06-20,3094,105,89,1,2273,102956,0.0491,20.4,175,1048
11-06-20,3215,121,92,3,3291,106247,0.0472,21.2,44,1092
12-06-20,3305,90,96,4,2419,108666,0.0467,21.4,72,1164
13-06-20,3457,152,100,4,3505,112171,0.0485,20.6,57,1221
14-06-20,3594,137,103,3,3165,115336,0.046,21.8,32,1253
15-06-20,3727,133,104,1,3365,118701,0.0422,23.7,33,1286
16-06-20,3860,133,105,1,3255,121956,0.0409,24.4,42,1328
17-06-20,4044,184,107,2,,,0.0408,24.5,25,1353
18-06-20,4257,213,117,10,,130498,0.043,23.3,106,1459
19-06-20,4374,117,119,2,3043,133541,0.043,23.3,91,1550
20-06-20,4478,104,121,2,2820,136361,0.0422,23.7,36,1586
21-06-20,4738,260,123,2,3651,140012,0.0464,21.6,21,1607
22-06-20,4797,59,125,2,2354,142366,0.0452,22.1,73,1680
23-06-20,4952,155,128,3,4171,146537,0.0444,22.5,102,1782
24-06-20,5206,254,130,2,4859,151396,0.0462,21.7,41,1823
25-06-20,5384,178,132,2,3918,155314,0.0454,22,34,1857
26-06-20,5533,149,137,5,3090,158404,0.0466,21.5,48,1905
27-06-20,5811,278,141,4,4074,162478,0.051,19.6,31,1936
28-06-20,6070,259,143,2,2718,165196,0.0529,18.9,35,1971
29-06-20,6190,120,144,1,2221,167417,0.0556,18,42,2013
30-06-20,6366,176,148,4,2419,169836,0.0607,16.5,26,2039
01-07-20,6673,307,149,1,3519,173355,0.0668,15,50,2089
02-07-20,6941,268,152,3,2704,176059,0.075,13.3,20,2109
03-07-20,7188,247,154,2,4147,180206,0.0759,13.2,39,2148
04-07-20,7577,389,159,5,4829,185035,0.0783,12.8,88,2236
05-07-20,7886,309,160,1,4228,189263,0.0755,13.3,51,2287
06-07-20,8067,181,164,4,2131,191394,0.0783,12.8,127,2414
07-07-20,8250,183,167,3,2061,193455,0.0798,12.5,90,2504
08-07-20,8528,278,169,2,3053,196508,0.0801,12.5,89,2593
09-07-20,8975,447,173,4,3803,200311,0.0839,11.9,64,2657
10-07-20,9448,473,181,8,6273,206584,0.0857,11.7,0,2733
11-07-20,9726,278,184,3,1403,207987,0.0936,10.7,175,2832
12-07-20,10105,379,185,1,7050,215037,0.0861,11.6,49,2881
13-07-20,10294,189,197,12,1205,216242,0.0896,11.2,65,2946
14-07-20,10791,497,202,5,4992,221234,0.0915,10.9,71,3017
15-07-20,11252,461,209,7,4261,225495,0.094,10.6,51,3068
16-07-20,11673,421,217,8,3895,229390,0.0928,10.8,570,3638
17-07-20,12062,389,222,5,3545,232935,0.0992,10.1,345,3983
18-07-20,12750,688,225,3,5228,238163,0.1002,10,457,4440
19-07-20,13353,603,234,9,5724,243887,0.1126,8.9,682,5122
20-07-20,13771,418,238,4,2474,246361,0.1154,8.7,494,5616
21-07-20,14168,397,250,12,3637,249998,0.1174,8.5,642,6258
22-07-20,14805,637,260,10,4275,254273,0.1235,8.1,499,6757
23-07-20,15601,796,263,3,6754,261027,0.1241,8.1,378,7135
24-07-20,16268,667,274,11,5075,266102,0.1268,7.9,311,7446
25-07-20,16643,375,278,4,,,0.12,8.3,128,7574
26-07-20,17603,960,280,2,,,0.1361,7.3,169,7743
27-07-20,17975,372,285,5,,279612,0.1264,7.9,90,7833
28-07-20,18581,606,299,14,4888,284500,0.1279,7.8,75,7908
29-07-20,19125,544,311,12,5259,289759,0.1217,8.2,113,8021
30-07-20,19913,788,325,14,5521,295280,0.1259,7.9,100,8121
31-07-20,20636,723,341,16,8679,303959,0.1154,8.7,44,8165
01-08-20,21363,727,364,23,6371,310330,0.1188,8.4,254,8419
02-08-20,22053,690,369,5,5393,315723,0.1096,9.1,58,8477
03-08-20,22597,544,382,13,2653,318376,0.1192,8.4,263,8740
04-08-20,23202,605,388,6,4547,322923,0.1203,8.3,587,9327
05-08-20,23873,671,391,3,6200,329123,0.1206,8.3,603,9930
06-08-20,24411,538,399,8,6195,335318,0.1123,8.9,514,10444
07-08-20,25138,727,413,14,6814,342132,0.1179,8.5,674,11118
08-08-20,25837,699,418,5,7175,349307,0.1148,8.7,781,11899
09-08-20,26436,599,420,2,4420,353727,0.1153,8.7,1062,12961
10-08-20,26928,492,423,3,4603,358330,0.1084,9.2,534,13495
11-08-20,27425,497,438,15,4171,362501,0.1067,9.4,372,13867
12-08-20,28104,679,456,18,6590,369091,0.1059,9.4,743,14610
13-08-20,28754,650,460,4,6768,375859,0.1071,9.3,490,15100
14-08-20,29334,580,465,5,5458,381317,0.1071,9.3,198,15298
15-08-20,29849,515,472,7,,,0.1083,9.2,672,15970
16-08-20,30120,271,474,2,,391416,0.0977,10.2,686,16656
17-08-20,30365,245,482,8,3150,394566,0.0948,10.5,504,17160
18-08-20,30636,271,487,5,4019,398585,0.089,11.2,208,17368
19-08-20,31015,379,506,19,,,0.0856,11.7,244,17612
20-08-20,31441,426,516,10,,,0.0847,11.8,257,17869
21-08-20,31763,322,532,16,,412080,0.079,12.7,288,18157
22-08-20,32118,355,542,10,5724,417804,0.0722,13.9,296,18453
23-08-20,32364,246,548,6,4179,421983,0.0734,13.6,217,18670
24-08-20,32557,193,554,6,3381,425364,0.0712,14.1,225,18895
25-08-20,32803,246,559,5,4149,429513,0.0701,14.3,160,19055
26-08-20,33016,213,564,5,,,0.065,15.4,241,19296
27-08-20,33389,373,567,3,,438193,0.0636,15.7,72,19368
28-08-20,33630,241,567,0,4520,442713,0.0609,16.4,66,19434
29-08-20,33794,164,572,5,3009,445722,0.06,16.7,156,19590
30-08-20,34057,263,574,2,4424,450146,0.0601,16.6,98,19688
31-08-20,34201,144,577,3,4260,454406,0.0566,17.7,205,19893
01-09-20,34315,114,577,0,1682,456088,0.0569,17.6,318,20211
02-09-20,34493,178,581,4,3474,459562,0.0574,17.4,238,20211
03-09-20,34705,212,585,4,3937,463499,0.052,19.2,195,20644
04-09-20,34884,179,589,4,4178,467677,0.0502,19.9,415,21059
05-09-20,35020,136,594,5,3707,471384,0.0478,20.9,99,21158
06-09-20,35103,83,597,3,3093,474477,0.043,23.3,72,21230
07-09-20,35205,102,599,2,2668,477145,0.0442,22.6,80,21310
08-09-20,35356,151,599,0,2552,479697,0.0441,22.7,173,21483
09-09-20,35460,104,607,8,2285,481982,0.0431,23.2,74,21557
10-09-20,35603,143,612,5,,,0.0396,25.2,490,22047
11-09-20,35793,190,616,4,,,0.0401,25,395,22442
12-09-20,35969,176,619,3,,494560,0.0409,24.4,329,22771
13-09-20,36157,188,622,3,3092,497652,0.0455,22,296,23067
14-09-20,36205,48,624,2,,,0.0433,23.1,176,23243
15-09-20,36301,96,634,10,,,0.0409,24.5,121,23364
16-09-20,36301,0,634,0,,,0.0359,27.9,105,23364
17-09-20,36576,275,642,8,,,0.0446,22.4,142,23611
18-09-20,36724,148,646,4,,,0.046,21.7,98,23709
19-09-20,36829,105,646,0,,,0.0462,21.6,68,23777
20-09-20,36981,152,648,2,,,0.0455,22,110,23887
21-09-20,37079,98,650,2,,518350,0.0483,20.7,62,23949
22-09-20,37218,139,659,9,1774,520124,0.053,18.9,198,24147
