Baringo,Bomet,Bungoma,Busia,Elgeyo Marakwet,Embu,Garissa,Homa Bay,Isiolo,Kajiado,Kakamega,Kericho,Kiambu,Kilifi,Kirinyaga,Kisii,Kisumu,Kitui,Kwale,Laikipia,Lamu,Machakos,Makueni,Mandera,Marsabit,Meru,Migori,Mombasa,Muranga,Nairobi,Nakuru,Nandi,Narok,Nyamira,Nyandarua,Nyeri,Samburu,Siaya,Taita Taveta,Tana River,Tharaka Nithi,Trans Nzoia,Turkana,Uasin Gishu,Vihiga,Wajir,West Pokot
4.8,3,4.3,4.2,5.1,9.5,1.9,3.5,2.7,8.4,3.9,8.2,14.9,3.2,10,3.3,9.7,3.5,3.4,12,2.4,7.9,6.1,1.5,1.3,4.5,3.9,9.4,10.3,24.8,9.6,5.3,2.2,6,11.3,20.2,3.4,4.6,12,1.8,7.9,6.7,1.6,10.6,5.4,1.8,1.6
8.3,6.7,10.2,9.5,9.3,16.8,2,7.4,4.4,13.3,8.6,10.3,21.7,5.2,23.5,6,17.7,8,5.1,23.4,7.1,13.5,12.5,19,15,10.4,8.7,12.6,20.9,35.8,18.1,9.1,3.9,10.2,19.8,31.3,4.8,9.6,20.2,2.6,13.6,11.2,2.3,15.7,13.3,1.5,3.3
86.9,90.3,85.5,86.3,85.6,73.7,96.1,89.1,92.9,78.3,87.5,81.5,63.4,91.6,66.5,90.7,72.6,88.5,91.5,64.6,90.5,78.6,81.4,96.6,97.2,85.1,87.4,78,68.8,39.4,72.3,85.6,93.9,83.8,68.9,48.5,91.8,85.8,67.8,95.6,78.5,82.1,96.1,73.7,81.3,96.7,95.1
